


🇨🇳央视频道,#genre#

CCTV1,http://play.kankanlive.com/live/1720408280309109.m3u8

CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8
CCTV3,http://222.214.208.34:59901/tsfile/live/0003_1.m3u8
CCTV4,http://222.214.208.34:59901/tsfile/live/0004_1.m3u8
CCTV5,http://222.214.208.34:59901/tsfile/live/0005_1.m3u8
CCTV6,http://222.214.208.34:59901/tsfile/live/0006_1.m3u8
CCTV7,http://222.214.208.34:59901/tsfile/live/0007_1.m3u8
CCTV8,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8
CCTV9,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8
CCTV10,http://222.214.208.34:59901/tsfile/live/0010_1.m3u8
CCTV11,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8
CCTV12,http://222.214.208.34:59901/tsfile/live/0012_1.m3u8
CCTV13,http://222.214.208.34:59901/tsfile/live/0013_1.m3u8
CCTV14,http://222.214.208.34:59901/tsfile/live/0014_1.m3u8
CCTV15,http://222.214.208.34:59901/tsfile/live/0015_1.m3u8
CCTV5+,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8


CCTV1,http://116.76.254.170:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$1280*720
CCTV2,http://116.76.254.170:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://116.76.254.170:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://116.76.254.170:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://116.76.254.170:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://116.76.254.170:44330/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://116.76.254.170:44330/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://116.76.254.170:44330/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://116.76.254.170:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://116.76.254.170:44330/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://116.76.254.170:44330/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://116.76.254.170:44330/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://116.76.254.170:44330/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://116.76.254.170:44330/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://116.76.254.170:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV16,http://116.76.254.170:44330/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0




CCTV1,http://49.232.181.26:6000/rtp/225.1.8.1:8008
CCTV2,http://49.232.181.26:6000/rtp/225.1.8.2:8084

CCTV4,http://49.232.181.26:6000/rtp/225.1.8.4:8092

CCTV5+,http://49.232.181.26:6000/rtp/225.1.8.20:8004

CCTV7,http://49.232.181.26:6000/rtp/225.1.8.7:8104

CCTV9,http://49.232.181.26:6000/rtp/225.1.8.9:8112
CCTV10,http://49.232.181.26:6000/rtp/225.1.8.10:8116
CCTV11,http://49.232.181.26:6000/rtp/225.1.8.73:8120
CCTV12,http://49.232.181.26:6000/rtp/225.1.8.12:8124
CCTV13,http://49.232.181.26:6000/rtp/225.1.8.168:8130
CCTV14,http://49.232.181.26:6000/rtp/225.1.8.14:8132
CCTV15,http://49.232.181.26:6000/rtp/225.1.8.74:8136
CCTV16,http://49.232.181.26:6000/rtp/225.1.8.189:8002
CCTV17,http://49.232.181.26:6000/rtp/225.1.8.17:8144
CETV1,http://49.232.181.26:6000/rtp/225.1.8.32:8152
CETV2,http://49.232.181.26:6000/rtp/225.1.8.193:4120


CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv$高速
CCTV2,http://218.17.33.178:53290/tsfile/live/1002_1.m3u8?key=txiptv
CCTV3,http://218.17.33.178:53290/tsfile/live/1003_1.m3u8?key=txiptv$低清
CCTV4,http://218.17.33.178:53290/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8?key=txiptv
CCTV5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6,http://218.17.33.178:53290/tsfile/live/1006_1.m3u8?key=txiptv$低清
CCTV7,http://218.17.33.178:53290/tsfile/live/1007_1.m3u8?key=txiptv$低清
CCTV8,http://218.17.33.178:53290/tsfile/live/1008_1.m3u8?key=txiptv
CCTV9,http://218.17.33.178:53290/tsfile/live/1009_1.m3u8?key=txiptv
CCTV10,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv
CCTV11,http://218.17.33.178:53290/tsfile/live/1011_1.m3u8?key=txiptv$低清
CCTV12,http://218.17.33.178:53290/tsfile/live/1012_1.m3u8?key=txiptv
CCTV13,http://218.17.33.178:53290/tsfile/live/1013_1.m3u8?key=txiptv$低清
CCTV14,http://218.17.33.178:53290/tsfile/live/1014_1.m3u8?key=txiptv$低清
CCTV15,http://218.17.33.178:53290/tsfile/live/1015_1.m3u8?key=txiptv$低清
CCTV17,http://218.17.33.178:53290/tsfile/live/1016_1.m3u8?key=txiptv$低清





CCTV1,http://1.24.39.180:9003/hls/1/index.m3u8
CCTV2,http://1.24.39.180:9003/hls/2/index.m3u8
CCTV3,http://1.24.39.180:9003/hls/3/index.m3u8
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8
CCTV6,http://1.24.39.180:9003/hls/6/index.m3u8
CCTV7,http://1.24.39.180:9003/hls/7/index.m3u8
CCTV8,http://1.24.39.180:9003/hls/8/index.m3u8
CCTV9,http://1.24.39.180:9003/hls/9/index.m3u8
CCTV10,http://1.24.39.180:9003/hls/10/index.m3u8
CCTV11,http://1.24.39.180:9003/hls/11/index.m3u8
CCTV12,http://1.24.39.180:9003/hls/12/index.m3u8
CCTV13,http://1.24.39.180:9003/hls/13/index.m3u8
CCTV14,http://1.24.39.180:9003/hls/14/index.m3u8
CCTV15,http://1.24.39.180:9003/hls/15/index.m3u8



CCTV1,http://124.165.251.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$700k卡
CCTV2,http://124.165.251.82:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://124.165.251.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.165.251.82:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://124.165.251.82:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://124.165.251.82:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://124.165.251.82:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://124.165.251.82:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://124.165.251.82:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://124.165.251.82:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://124.165.251.82:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://124.165.251.82:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://124.165.251.82:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0



CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0


CCTV1,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8
CCTV2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8
CCTV3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV4,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8
CCTV5,http://39.152.103.17:8089/tsfile/live/1004_1.m3u8
CCTV6,http://39.152.103.17:8089/tsfile/live/1005_1.m3u8
CCTV7,http://39.152.103.17:8089/tsfile/live/1006_1.m3u8
CCTV8,http://39.152.103.17:8089/tsfile/live/1007_1.m3u8
CCTV9,http://39.152.103.17:8089/tsfile/live/1008_1.m3u8
CCTV10,http://39.152.103.17:8089/tsfile/live/1009_1.m3u8
CCTV11,http://39.152.103.17:8089/tsfile/live/1010_1.m3u8
CCTV12,http://39.152.103.17:8089/tsfile/live/1011_1.m3u8
CCTV13,http://39.152.103.17:8089/tsfile/live/1012_1.m3u8
CCTV14,http://39.152.103.17:8089/tsfile/live/1013_1.m3u8
CCTV15,http://39.152.103.17:8089/tsfile/live/1014_1.m3u8
CCTV16,http://39.152.103.17:8089/tsfile/live/1015_1.m3u8
CCTV17,http://39.152.103.17:8089/tsfile/live/1016_1.m3u8



CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$1280*720
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
