🇨🇳央视频道,#genre#

CCTV1,http://39.135.137.205/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8

CCTV1,http://123.112.208.22:4022/rtp/239.3.1.129:8008
CCTV1,http://125.82.168.238:8888/rtp/235.254.198.51:1480
CCTV2,http://123.112.208.22:4022/rtp/239.3.1.60:8084
CCTV2,http://125.82.168.238:8888/rtp/235.254.198.52:1484
CCTV3,http://123.112.208.22:4022/rtp/239.3.1.172:8001
CCTV3,http://125.82.168.238:8888/rtp/235.254.198.53:1488
CCTV4,http://123.112.208.22:4022/rtp/239.3.1.105:8092
CCTV4,http://125.82.168.238:8888/rtp/235.254.198.183:7980
CCTV7,http://123.112.208.22:4022/rtp/239.3.1.61:8104
CCTV7,http://125.82.168.238:8888/rtp/235.254.198.56:1500
CCTV9,http://123.112.208.22:4022/rtp/239.3.1.62:8112
CCTV9,http://125.82.168.238:8888/rtp/235.254.198.58:1508
CCTV10,http://123.112.208.22:4022/rtp/239.3.1.63:8116
CCTV10,http://125.82.168.238:8888/rtp/235.254.198.59:1512
CCTV13,http://123.112.208.22:4022/rtp/239.3.1.124:8128
CCTV13,http://125.82.168.238:8888/rtp/235.254.198.9:1312
CCTV15,http://www.weec.top:2222/rtp/239.3.1.153:8136
CCTV16,http://ipv4.sunjianwu.fun:8800/rtp/239.49.0.109:8000
CCTV-台球,http://doityoume.x3322.net:5100/rtp/239.69.1.98:10224
